Piece,To,Player
Pawn,e4,player1
Pawn,e5,player2
Pawn,d3,player1
Pawn,d6,player2
Bishop,e3,player1
Pawn,c6,player2
Bishop,e2,player1
Pawn,b5,player2
Knight,d2,player1
Pawn,a5,player2
Pawn,a4,player1
Pawn,c5,player2
Pawn,b5,player1
Knight,c6,player2
Pawn,c6,player1
Rook,a6,player2
Knight,c4,player1
Pawn,a4,player2
Pawn,c3,player1
Pawn,a3,player2
Knight,a3,player1
Rook,a3,player2
Rook,a3,player1
Pawn,c4,player2
Pawn,c4,player1
Pawn,d5,player2
Pawn,d5,player1
Queen,d5,player2
Pawn,d5,player1
Bishop,e6,player2
Rook,a8,player1
King,e7,player2
Bishop,c5,player1
King,f6,player2
Bishop,f8,player1
King,g6,player2
Bishop,g7,player1
King,g7,player2
Pawn,e6,player1
King,h6,player2
Pawn,f7,player1
Knight,f6,player2
Rook,h8,player1
Knight,h5,player2
Bishop,h5,player1
King,g5,player2
Rook,h7,player1
King,f5,player2
Queen,f3,player1
King,e6,player2
Bishop,g4,player1
King,d6,player2
Rook,h6,player1
King,c5,player2
Queen,e3,player1
King,b5,player2
Pawn,c4,player1
King,b4,player2
Queen,c3,player1
King,a4,player2
Bishop,d1,player1
