Piece,To,Player
Pawn,e4,player1
Pawn,e5,player2
Knight,f3,player1
Pawn,d6,player2
Pawn,d4,player1
Knight,c6,player2
Pawn,d5,player1
Knight,b4,player2
Pawn,a3,player1
Knight,a6,player2
Knight,c3,player1
Bishop,e7,player2
Pawn,b4,player1
Knight,f6,player2
Bishop,g5,player1
King,g8,player2
Pawn,b5,player1
Knight,c5,player2
Bishop,f6,player1
Bishop,f6,player2
Bishop,d3,player1
Queen,d7,player2
King,g8,player1
Knight,d3,player2
Queen,d3,player1
Pawn,c6,player2
Pawn,a4,player1
Pawn,d5,player2
Knight,d5,player1
Queen,e6,player2
Knight,c7,player1
Queen,g4,player2
Knight,a8,player1
Bishop,d7,player2
Knight,c7,player1
Rook,c8,player2
Knight,d5,player1
Queen,g6,player2
Knight,f6,player1
Queen,f6,player2
Rook,d1,player1
Rook,e8,player2
Queen,d6,player1
Bishop,g4,player2
Queen,f6,player1
Pawn,f6,player2
Rook,d3,player1
Bishop,f3,player2
Rook,f3,player1
Rook,d8,player2
Rook,f6,player1
King,g7,player2
Rook,f3,player1
Rook,d2,player2
Rook,g3,player1
King,f8,player2
Pawn,c3,player1
Rook,e2,player2
Pawn,f3,player1
Rook,c2,player2
Rook,g5,player1
Pawn,f6,player2
Rook,h5,player1
King,g7,player2
Rook,d1,player1
King,g6,player2
Rook,h3,player1
Rook,c3,player2
Rook,d7,player1
Rook,c1,player2
King,f2,player1
Rook,c2,player2
King,g3,player1
Pawn,h5,player2
Rook,b7,player1
King,g5,player2
Rook,a7,player1
Pawn,h4,player2
Rook,h4,player1
Rook,g2,player2
King,g2,player1
King,h4,player2
Pawn,b6,player1
King,g5,player2
Pawn,b7,player1
Pawn,f5,player2
Pawn,f5,player1
King,f5,player2
Pawn,=Q,player1
Pawn,e4,player2
Rook,f7,player1
King,g5,player2
Queen,g8,player1
King,h6,player2
Rook,h7,player1
